opcode,mnemonic,args
00,nop,0
01,aconst_null,0
02,iconst_m1,0
03,iconst_0,0
04,iconst_1,0
05,iconst_2,0
06,iconst_3,0
07,iconst_4,0
08,iconst_5,0
10,bipush,1
11,sipush,2
12,ldc,1
15,iload,1
19,aload,1
1a,iload_0,0
1b,iload_1,0
1c,iload_2,0
1d,iload_3,0
2a,aload_0,0
2b,aload_1,0
2c,aload_2,0
2d,aload_3,0
2e,iaload,0
32,aaload,0
33,baload,0
34,caload,0
35,saload,0
36,istore,1
3a,astore,1
3b,istore_0,0
3c,istore_1,0
3d,istore_2,0
3e,istore_3,0
4b,astore_0,0
4c,astore_1,0
4d,astore_2,0
4e,astore_3,0
4f,iastore,0
53,aastore,0
54,bastore,0
55,castore,0
56,sastore,0
57,pop,0
59,dup,0
5f,swap,0
60,iadd,0
64,isub,0
68,imul,0
6c,idiv,0
70,irem,0
74,ineg,0
78,ishl,0
7a,ishr,0
7c,iushr,0
7e,iand,0
80,ior,0
82,ixor,0
84,iinc,0
99,ifeq,2
9a,ifne,2
9b,iflt,2
9c,ifge,2
9d,ifgt,2
9e,ifle,2
9f,if_icmpeq,2
a0,if_icmpne,2
a1,if_icmplt,2
a2,if_icmpge,2
a3,if_icmpgt,2
a4,if_icmple,2
a7,goto,2
ac,ireturn,0
b0,areturn,0
b1,return,0
b7,invokespecial,2
b8,invokestatic,2
bc,newarray,1
be,arraylength,0
